person,organisation,membership_type,fk_sparql_query,metadata
http://dbpedia.org/resource/Anderson_Cooper,http://dbpedia.org/resource/Yale_University,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Rick_Leventhal,http://dbpedia.org/resource/American_University,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Anna_Politkovskaya,http://dbpedia.org/resource/Moscow_State_University,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Vicente_Huidobro,http://dbpedia.org/resource/University_of_Chile,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Margaret_Bourke-White,http://dbpedia.org/resource/Columbia_University,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Margaret_Bourke-White,http://dbpedia.org/resource/Cornell_University,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Margaret_Bourke-White,http://dbpedia.org/resource/Purdue_University,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Margaret_Bourke-White,http://dbpedia.org/resource/Case_Western_Reserve_University,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Margaret_Bourke-White,http://dbpedia.org/resource/University_of_Michigan,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Tim_Hetherington,http://dbpedia.org/resource/Cardiff_University,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Tim_Hetherington,"http://dbpedia.org/resource/Lady_Margaret_Hall,_Oxford",almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Dexter_Filkins,http://dbpedia.org/resource/University_of_Florida,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Dexter_Filkins,"http://dbpedia.org/resource/St_Antony's_College,_Oxford",almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Sylvana_Foa,http://dbpedia.org/resource/Barnard_College,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Sylvana_Foa,http://dbpedia.org/resource/Columbia_University_Graduate_School_of_Journalism,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Anthony_Shadid,http://dbpedia.org/resource/University_of_Wisconsin–Madison,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Ryszard_Kapuściński,http://dbpedia.org/resource/University_of_Warsaw,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Alan_Moorehead,http://dbpedia.org/resource/University_of_Melbourne,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Ferdinando_Petruccelli_della_Gattina,http://dbpedia.org/resource/Collège_de_France,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Ferdinando_Petruccelli_della_Gattina,http://dbpedia.org/resource/University_of_Naples_Federico_II,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Ferdinando_Petruccelli_della_Gattina,http://dbpedia.org/resource/University_of_Paris,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Bernard_B._Fall,http://dbpedia.org/resource/Ludwig_Maximilian_University_of_Munich,almaMater,2,Importation 21 janvier 2026
http://dbpedia.org/resource/Bernard_B._Fall,http://dbpedia.org/resource/University_of_Paris,almaMater,2,Importation 21 janvier 2026
