person,organisation,membership_type,fk_sparql_query,metadata
http://dbpedia.org/resource/Richard_Dimbleby,http://dbpedia.org/resource/BBC,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Anthony_Loyd,http://dbpedia.org/resource/The_Times,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Sigrid_Schultz,http://dbpedia.org/resource/Chicago_Tribune,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Sigrid_Schultz,http://dbpedia.org/resource/Mutual_Broadcasting_System,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Christiane_Amanpour,http://dbpedia.org/resource/CNN,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Christiane_Amanpour,http://dbpedia.org/resource/PBS,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Max_Hastings,http://dbpedia.org/resource/BBC,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Max_Hastings,http://dbpedia.org/resource/Evening_Standard,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Max_Hastings,http://dbpedia.org/resource/The_Daily_Telegraph,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Anthony_Shadid,http://dbpedia.org/resource/The_New_York_Times,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Larry_Burrows,http://dbpedia.org/resource/Life_(magazine),employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Eric_Sevareid,http://dbpedia.org/resource/CBS,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Ralph_Barnes_(journalist),http://dbpedia.org/resource/New_York_Herald_Tribune,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Peggy_Hull,http://dbpedia.org/resource/The_Plain_Dealer,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Peggy_Hull,http://dbpedia.org/resource/Honolulu_Star-Bulletin,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Ruth_Cowan_Nash,http://dbpedia.org/resource/Associated_Press,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Isobel_Yeung,http://dbpedia.org/resource/Vice_News,employer,3,Importation 26 janvier 2026
http://dbpedia.org/resource/Isobel_Yeung,http://dbpedia.org/resource/CNN,employer,3,Importation 26 janvier 2026
