person_uri,persName,birthYear
http://dbpedia.org/resource/Henry_Crabb_Robinson,Henry Crabb Robinson,1775
http://dbpedia.org/resource/Ferdinando_Petruccelli_della_Gattina,Ferdinando Petruccelli della Gattina,1815
http://dbpedia.org/resource/Thomas_William_Bowlby,Thomas William Bowlby,1818
http://dbpedia.org/resource/William_Howard_Russell,William Howard Russell,1827
http://dbpedia.org/resource/Charles_Frederick_Williams,Charles Frederick Williams,1838
http://dbpedia.org/resource/Archibald_Forbes,Archibald Forbes,1838
http://dbpedia.org/resource/John_F._Finerty,John F. Finerty,1846
http://dbpedia.org/resource/Frederic_Villiers,Frederic Villiers,1851
http://dbpedia.org/resource/Kit_Coleman,Kit Coleman,1856
http://dbpedia.org/resource/Richard_Harding_Davis,Richard Harding Davis,1864
http://dbpedia.org/resource/Jessie_Pope,Jessie Pope,1868
http://dbpedia.org/resource/Stephen_Crane,Stephen Crane,1871
http://dbpedia.org/resource/Gaston_Chérau,Gaston Chérau,1872
http://dbpedia.org/resource/Howard_C._Hillegas,Howard C. Hillegas,1872
http://dbpedia.org/resource/Winston_Churchill,Winston Churchill,1874
http://dbpedia.org/resource/Edgar_Rice_Burroughs,Edgar Rice Burroughs,1875
http://dbpedia.org/resource/Jack_London,Jack London,1876
http://dbpedia.org/resource/Philip_Gibbs,Philip Gibbs,1877
http://dbpedia.org/resource/Basil_Clarke,Basil Clarke,1879
http://dbpedia.org/resource/Anne_O'Hare_McCormick,Anne O'Hare McCormick,1880
http://dbpedia.org/resource/Ellis_Ashmead-Bartlett,Ellis Ashmead-Bartlett,1881
http://dbpedia.org/resource/Albert_K._Dawson,Albert K. Dawson,1885
http://dbpedia.org/resource/Blaise_Cendrars,Blaise Cendrars,1887
http://dbpedia.org/resource/John_Reed_(journalist),John Reed (journalist),1887
http://dbpedia.org/resource/Peggy_Hull,Peggy Hull,1889
http://dbpedia.org/resource/Edwin_Leland_James,Edwin Leland James,1890
http://dbpedia.org/resource/Greg_Clark_(journalist),Greg Clark (journalist),1892
http://dbpedia.org/resource/Sigrid_Schultz,Sigrid Schultz,1893
http://dbpedia.org/resource/Vicente_Huidobro,Vicente Huidobro,1893
http://dbpedia.org/resource/Alexander_Gault_MacGowan,Alexander Gault MacGowan,1894
http://dbpedia.org/resource/Ernest_Hemingway,Ernest Hemingway,1899
http://dbpedia.org/resource/Ralph_Barnes_(journalist),Ralph Barnes (journalist),1899
http://dbpedia.org/resource/Ernie_Pyle,Ernie Pyle,1900
http://dbpedia.org/resource/Ruth_Cowan_Nash,Ruth Cowan Nash,1901
http://dbpedia.org/resource/John_Steinbeck,John Steinbeck,1902
http://dbpedia.org/resource/William_L._Shirer,William L. Shirer,1904
http://dbpedia.org/resource/Margaret_Bourke-White,Margaret Bourke-White,1904
http://dbpedia.org/resource/Kurt_Eggers,Kurt Eggers,1905
http://dbpedia.org/resource/J._C._Furnas,J. C. Furnas,1905
http://dbpedia.org/resource/Tom_Grandin,Tom Grandin,1907
http://dbpedia.org/resource/Cecil_Brown_(journalist),Cecil Brown (journalist),1907
http://dbpedia.org/resource/Martha_Gellhorn,Martha Gellhorn,1908
http://dbpedia.org/resource/Bill_Shadel,Bill Shadel,1908
http://dbpedia.org/resource/Vernon_Arnold_Haugland,Vernon Arnold Haugland,1908
http://dbpedia.org/resource/Edward_R._Murrow,Edward R. Murrow,1908
http://dbpedia.org/resource/Robert_Sherrod,Robert Sherrod,1909
http://dbpedia.org/resource/Larry_LeSueur,Larry LeSueur,1909
http://dbpedia.org/resource/Osmar_White,Osmar White,1909
http://dbpedia.org/resource/Helen_Kirkpatrick,Helen Kirkpatrick,1909
http://dbpedia.org/resource/William_Pidgeon,William Pidgeon,1909
http://dbpedia.org/resource/Alan_Moorehead,Alan Moorehead,1910
http://dbpedia.org/resource/Clare_Hollingworth,Clare Hollingworth,1911
http://dbpedia.org/resource/Chester_Wilmot,Chester Wilmot,1911
http://dbpedia.org/resource/Wilfred_Burchett,Wilfred Burchett,1911
http://dbpedia.org/resource/Betty_Wason,Betty Wason,1912
http://dbpedia.org/resource/Eric_Sevareid,Eric Sevareid,1912
http://dbpedia.org/resource/John_MacVane,John MacVane,1912
http://dbpedia.org/resource/Robert_Capa,Robert Capa,1913
http://dbpedia.org/resource/Richard_Dimbleby,Richard Dimbleby,1913
http://dbpedia.org/resource/Winston_Burdett,Winston Burdett,1913
http://dbpedia.org/resource/George_Polk,George Polk,1913
http://dbpedia.org/resource/Howard_K._Smith,Howard K. Smith,1914
http://dbpedia.org/resource/Bill_Downs,Bill Downs,1914
http://dbpedia.org/resource/Walter_Cronkite,Walter Cronkite,1916
http://dbpedia.org/resource/Richard_C._Hottelet,Richard C. Hottelet,1917
http://dbpedia.org/resource/Lothar-Günther_Buchheim,Lothar-Günther Buchheim,1918
http://dbpedia.org/resource/Dickey_Chapelle,Dickey Chapelle,1919
http://dbpedia.org/resource/Marguerite_Higgins,Marguerite Higgins,1920
http://dbpedia.org/resource/Peter_Scholl-Latour,Peter Scholl-Latour,1924
http://dbpedia.org/resource/Bernard_B._Fall,Bernard B. Fall,1926
http://dbpedia.org/resource/Larry_Burrows,Larry Burrows,1926
http://dbpedia.org/resource/Robert_Goralski,Robert Goralski,1928
http://dbpedia.org/resource/Oriana_Fallaci,Oriana Fallaci,1929
http://dbpedia.org/resource/Gloria_Emerson,Gloria Emerson,1929
http://dbpedia.org/resource/Morley_Safer,Morley Safer,1931
http://dbpedia.org/resource/Dan_Rather,Dan Rather,1931
http://dbpedia.org/resource/Ryszard_Kapuściński,Ryszard Kapuściński,1932
http://dbpedia.org/resource/Horst_Faas,Horst Faas,1933
http://dbpedia.org/resource/David_Halberstam,David Halberstam,1934
http://dbpedia.org/resource/Peter_Arnett,Peter Arnett,1934
http://dbpedia.org/resource/Neil_Davis_(cameraman),Neil Davis (cameraman),1934
http://dbpedia.org/resource/Sydney_Schanberg,Sydney Schanberg,1934
http://dbpedia.org/resource/Derek_Round,Derek Round,1935
http://dbpedia.org/resource/Don_McCullin,Don McCullin,1935
http://dbpedia.org/resource/Philip_Jones_Griffiths,Philip Jones Griffiths,1936
http://dbpedia.org/resource/Martin_Bell,Martin Bell,1938
http://dbpedia.org/resource/John_Pilger,John Pilger,1939
http://dbpedia.org/resource/Michael_Herr,Michael Herr,1940
http://dbpedia.org/resource/Joseph_L._Galloway,Joseph L. Galloway,1941
http://dbpedia.org/resource/Kate_Webb,Kate Webb,1943
http://dbpedia.org/resource/Chas_Gerretsen,Chas Gerretsen,1943
http://dbpedia.org/resource/Catherine_Leroy,Catherine Leroy,1944
http://dbpedia.org/resource/Sylvana_Foa,Sylvana Foa,1945
http://dbpedia.org/resource/Max_Hastings,Max Hastings,1945
http://dbpedia.org/resource/Kate_Adie,Kate Adie,1945
http://dbpedia.org/resource/Robert_Fisk,Robert Fisk,1946
http://dbpedia.org/resource/Al_Gore,Al Gore,1948
http://dbpedia.org/resource/James_Nachtwey,James Nachtwey,1948
http://dbpedia.org/resource/Steve_McCurry,Steve McCurry,1950
http://dbpedia.org/resource/Arturo_Pérez-Reverte,Arturo Pérez-Reverte,1951
http://dbpedia.org/resource/Terry_Lloyd,Terry Lloyd,1952
http://dbpedia.org/resource/Chris_Hedges,Chris Hedges,1956
http://dbpedia.org/resource/Jon_Lee_Anderson,Jon Lee Anderson,1957
http://dbpedia.org/resource/Kenji_Nagai,Kenji Nagai,1957
http://dbpedia.org/resource/Anna_Politkovskaya,Anna Politkovskaya,1958
http://dbpedia.org/resource/Christiane_Amanpour,Christiane Amanpour,1958
http://dbpedia.org/resource/Rick_Leventhal,Rick Leventhal,1960
http://dbpedia.org/resource/Ben_Brown_(journalist),Ben Brown (journalist),1960
http://dbpedia.org/resource/Joe_Sacco,Joe Sacco,1960
http://dbpedia.org/resource/Dexter_Filkins,Dexter Filkins,1961
http://dbpedia.org/resource/Alexandra_Boulat,Alexandra Boulat,1962
http://dbpedia.org/resource/Vaughan_Smith,Vaughan Smith,1963
http://dbpedia.org/resource/Cork_Graham,Cork Graham,1964
http://dbpedia.org/resource/Karsten_Thielker,Karsten Thielker,1965
http://dbpedia.org/resource/Anthony_Loyd,Anthony Loyd,1966
http://dbpedia.org/resource/Anderson_Cooper,Anderson Cooper,1967
http://dbpedia.org/resource/Mika_Yamamoto,Mika Yamamoto,1967
http://dbpedia.org/resource/Anthony_Shadid,Anthony Shadid,1968
http://dbpedia.org/resource/Gilles_Jacquier,Gilles Jacquier,1968
http://dbpedia.org/resource/Michael_Ware,Michael Ware,1969
http://dbpedia.org/resource/Tim_Hetherington,Tim Hetherington,1970
http://dbpedia.org/resource/Dan_Eldon,Dan Eldon,1970
http://dbpedia.org/resource/Chris_Hondros,Chris Hondros,1970
http://dbpedia.org/resource/Richard_Engel,Richard Engel,1973
http://dbpedia.org/resource/Michael_Hastings_(journalist),Michael Hastings (journalist),1980
http://dbpedia.org/resource/Isobel_Yeung,Isobel Yeung,1986
